rank,fitness_,ctk_string
122,2556.8960539603468,C[f(H)]<t(B2[l(B2[r(BH4H6)]B4)b(B6H)])>
123,2556.762476233669,C[l(B2[t(B6H4)l(B[l(B2[l(B2B6)])])]HH6)f(H4H4H4)]
124,2556.143926751391,C[f(B6[b(B[l(B4[t(B6[l(B6[l(B)]H2H4)]H2H4)])])]H4)]
125,2555.694872402818,C[r(B4[t(B4[b(B2H2)]H4HH6)r(B6B[t(BH6)])]H2)]
126,2555.244654471269,C[f(B2H2H6)l(B2[b(BH6H6)])]
127,2554.9944742133594,C[f(H2H6H2H6H2H4H6H4H4H2)]
128,2553.811281929231,C[l(B6H4B[b(B6H6H6H4)r(B[l(B[l(BH6)])]H4)]B[t(B6H6)]H)]
129,2553.3224342918224,C[l(B6[b(B2[l(B2B6)r(B6[t(B)])]H4)t(B4)]H4)]
130,2553.2997014929515,C[f(H6B6[t(B2H2H2)]H4HH2)]
131,2553.0909612449177,C[l(B2[l(B2[r(B4[t(B4B2)])l(B6B6)b(B6[t(B2)])]HB[b(B4[t(B2)])])])]<t(B2)>
132,2552.103794769861,C[f(H4H6B4[t(B4[b(B4[t(B2[b(B)]H4H)]H6)])]H4)]
133,2551.8931845781653,C[l(B2[b(B2[b(BB)r(BH4)])]H4HH6H4)f(H6H6)]
134,2551.5804815389674,C[f(B4[l(B)t(B2[t(B2[b(B4H6H6H6H4)])r(BH)]H6H2)])]
135,2551.460866039293,C[r(B6[r(B6BH6)]H6H2)f(HHBH4H4H6H2)]
136,2551.1297854494496,C[l(B2[t(B2)l(B4[t(B[r(B6H4)t(B[l(BH2BH4H)])])]H)]B)]
137,2550.7286555956407,C[f(B2[b(B6H4)]H6)r(B6[r(B2[l(B2)]H6)]H2H)]
138,2550.7003317899434,C[f(H2HH6B2[r(B2H2H6)b(BH)])]
139,2550.6540014393013,C[l(B2B[t(B2[r(B2[l(B4H2)r(BH6H2H6)]H4)]H)]H2)f(H2)]<t(B2H2H)>
140,2549.943511398619,C[f(B2)l(B[b(B[l(B2[t(B[r(B2)]B2H6H6)])t(B4H6)])t(B[r(B2)])]H4)]
141,2548.792082053492,C[f(H4BB[l(B6B[r(B)l(B6HH2H6)]B6H)]H)]
142,2548.505035437236,C[f(H6B6H6B[t(B6HHHH6)]H6H2H4)]
143,2548.423659872421,C[r(B4)l(B6[b(B6B6[l(B2H2)t(B4)]H2H4)]B6B[b(B2)])f(H2)]
144,2548.4151043166275,C[l(B2[r(B4[b(B6[r(B6)t(BH)])]H4H2)]H)f(H4H6)]
145,2548.376011335142,C[f(HB6[b(B4[l(B)]H)r(B6B2H6HH)]B6)]
146,2547.9833833752637,C[f(HH2B2[l(B4H2H)r(B[b(B4)]H6H2H4)]H2H4)]
147,2547.890376614353,C[r(B[t(B[l(B6[b(B2[b(B4H)]H4)]B4)])]H2H6H2)f(H4H4)]
148,2547.5763121933974,C[r(B4[b(B4)]H2H4)l(B4[t(B6)]B4[l(B6[r(B2)]H2)]H6H2)]
