rank,fitness_,ctk_string
197,3.440048792576641,C[f(B2[r(B2[b(B2[l(B4[b(BH6)])]B6BHH4)t(B4H)]H4)])]
198,3.439968081740899,C[f(H6BH6B6[l(B2[r(B6[b(B2)l(B6H4H)]B6)]HH2)])]
199,3.439705757913697,C[f(H6H4B6[t(B)l(B2[t(B6B[t(B2)])r(B6[t(BH4B6)])]BH2)])]
200,3.43937760070379,C[r(B4[b(B6B2[l(B[b(B[b(B2)]H4H4)]HH6H2)])]H2)f(H6)]
201,3.439128969203197,C[f(B4[r(B6)]B6[l(B6[b(B)r(B2H6)])]H2H4BH4H6)]
202,3.4390368382038288,C[r(B2[r(BH4B[l(B6)b(B6[b(B2[b(B4)])l(BH4H6)]BB2)])])f(H4)]
203,3.43892384756419,C[l(B[l(B6[t(B2H6)]H4H6H4B[b(B6)l(B6H6)])]H6)f(H2)]
204,3.4387893992803695,C[l(B6[b(B[r(B)b(B6[b(B2[b(B2)])])]H4H4H)])f(H6H6H6)]
205,3.4384390032767826,C[f(H4B4[t(B2B6[b(B2)l(BH2)]B6[t(B2BH4)]B4H2)])]
206,3.4381170314641647,C[l(B6[r(B2)b(B6)l(B6[t(B)]H4H2H4)]BHH6)f(H4)]
207,3.437997720169238,C[l(B6[b(B2[b(B6)])t(BB6[b(B)l(B2)]H4H6)]H2)f(H4H2)]
208,3.437046038687058,C[l(B6[b(B6[b(B2)]B2BH2H2)]H)f(H4H4)]
209,3.436623710075962,C[l(B[t(BH4BB6B[r(B[b(B2)])]BH4H)])f(H6H4)]
210,3.436268294233084,C[f(B4[r(B2[t(BBH2H4)]H4)])l(B6[b(B6[r(B4[r(BH)])]B2)])]
211,3.4361702051510914,C[f(B2[r(B6[l(B)b(B4B6H4H2H6)]B)]H)]
212,3.435717984460391,C[l(B[r(B2[b(B2[l(B4[l(B)]B6[l(B[r(B6)])]H4)])])]H6H)f(H4)]
213,3.435044844028522,C[f(B2[r(B2[t(B2[b(B6B4)])]H4H6)])r(B[r(BH4H)]HH2H6)]
214,3.434831169963262,C[r(B4[b(B2[r(BB[b(B2)t(B6[l(B6H4H)])])])]H2)f(H6BH6)]
215,3.434577366740041,C[r(B4[l(B6B)t(B6[b(B2[b(B2[l(B)])l(B6H4)])])])f(H4)]
216,3.4345486779201337,C[r(B[r(B6)t(B[l(B6[t(B4B6)]H2H6H2)r(B[l(B6H4H4)])])])f(H4)]
217,3.4339904847066,C[r(B6[r(B)l(B2[r(B2[b(B2[t(B)l(B6[b(B6[b(B2)])]H)])t(B4B6)])])])f(H4)]
218,3.4335867902610806,C[l(B2B6[b(B2[b(B2[l(B2H4H)]H4)])]B[r(B)]B6)f(H6)]
219,3.432940630789484,C[r(B6[t(BH4B)r(B[l(B[l(BH4)]H2)]B2B4H2H)])f(H4)]
220,3.4326718234345615,C[f(B2[r(B6[t(B6[r(B[r(B[t(B6[b(B)]H4H4)]H4)]H)]H2HH2)])])]
221,3.4318891736322708,C[l(B6[b(B2[r(B2)l(B6[r(B)]H4H6B)])]B6H6B[r(BH6)])f(H4H4)]
222,3.4315724929126366,C[l(BB6B6B[l(BB6)]H6H6H6H2)f(H6H4H2H)]
223,3.431316912082039,C[l(B[l(B6[t(B[l(B6)r(B6B2)])]H4H6)]H2)f(H6H2)]
224,3.4312811105304544,C[f(H4B4[l(B2B6[b(B2[b(B2)])l(B6H4H2)]B[r(BH4B)]H)])]
225,3.430642085119246,C[l(B6[t(B[r(B2[l(B6[r(B6)t(B[r(B)])]HH)]H4)])]H4H6)f(H4)]
226,3.4306232481731294,C[r(B[r(BH4B[l(B6[r(B2[l(B6[b(B2[b(B2[r(B[r(B6)]H4)])])])]H4)])])])]
227,3.430499402700704,C[l(B6[b(B2)])r(B6[b(B[t(B4H4B)]H2)]B6H4)f(H4)]
228,3.430306246278191,C[r(B[r(B4[l(B4)]HB[b(B2[r(B4[r(BH4H)])b(B6)]B4)l(B6)])])f(H4B4)]
229,3.429843880221297,C[f(B2[r(B[t(B[l(B)b(B6B)]BH4)]H4)]H4H2)]
230,3.429156868721614,C[f(H4B[l(B[r(B)l(B2)b(B6)]B[l(B2[r(B2)])]H4H4H)]H6H6)]
